ckan_id,movie_id,title,full_title,release_year,genres,entity_id
0,1,Toy Story,Toy Story (1995),1995.0,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",0
1,2,Jumanji,Jumanji (1995),1995.0,"['Adventure', 'Children', 'Fantasy']",1
2,3,Grumpier Old Men,Grumpier Old Men (1995),1995.0,"['Comedy', 'Romance']",2
3,4,Waiting to Exhale,Waiting to Exhale (1995),1995.0,"['Comedy', 'Drama', 'Romance']",3
4,5,Father of the Bride Part II,Father of the Bride Part II (1995),1995.0,['Comedy'],4
5,8,Tom and Huck,Tom and Huck (1995),1995.0,"['Adventure', 'Children']",5
6,10,GoldenEye,GoldenEye (1995),1995.0,"['Action', 'Adventure', 'Thriller']",6
7,11,"American President, The","American President, The (1995)",1995.0,"['Comedy', 'Drama', 'Romance']",7
8,12,Dracula: Dead and Loving It,Dracula: Dead and Loving It (1995),1995.0,"['Comedy', 'Horror']",8
9,13,Balto,Balto (1995),1995.0,"['Adventure', 'Animation', 'Children']",9
10,14,Nixon,Nixon (1995),1995.0,['Drama'],10
11,15,Cutthroat Island,Cutthroat Island (1995),1995.0,"['Action', 'Adventure', 'Romance']",11
12,17,Sense and Sensibility,Sense and Sensibility (1995),1995.0,"['Drama', 'Romance']",12
13,18,Four Rooms,Four Rooms (1995),1995.0,['Comedy'],13
14,19,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls (1995),1995.0,['Comedy'],14
15,20,Money Train,Money Train (1995),1995.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",15
16,21,Get Shorty,Get Shorty (1995),1995.0,"['Comedy', 'Crime', 'Thriller']",16
17,25,Leaving Las Vegas,Leaving Las Vegas (1995),1995.0,"['Drama', 'Romance']",17
18,27,Now and Then,Now and Then (1995),1995.0,"['Children', 'Drama']",18
19,29,"City of Lost Children, The (Cité des enfants perdus, La)","City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995.0,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",19
20,30,Shanghai Triad (Yao a yao yao dao waipo qiao),Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995.0,"['Crime', 'Drama']",20
21,31,Dangerous Minds,Dangerous Minds (1995),1995.0,['Drama'],21
22,32,Twelve Monkeys (a.k.a. 12 Monkeys),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995.0,"['Mystery', 'Sci-Fi', 'Thriller']",22
23,33,Wings of Courage,Wings of Courage (1995),1995.0,"['Adventure', 'Romance', 'IMAX']",23
24,35,Carrington,Carrington (1995),1995.0,"['Drama', 'Romance']",24
25,37,Across the Sea of Time,Across the Sea of Time (1995),1995.0,"['Documentary', 'IMAX']",25
26,39,Clueless,Clueless (1995),1995.0,"['Comedy', 'Romance']",26
27,42,Dead Presidents,Dead Presidents (1995),1995.0,"['Action', 'Crime', 'Drama']",27
28,44,Mortal Kombat,Mortal Kombat (1995),1995.0,"['Action', 'Adventure', 'Fantasy']",28
29,46,How to Make an American Quilt,How to Make an American Quilt (1995),1995.0,"['Drama', 'Romance']",29
30,49,When Night Is Falling,When Night Is Falling (1995),1995.0,"['Drama', 'Romance']",30
31,50,"Usual Suspects, The","Usual Suspects, The (1995)",1995.0,"['Crime', 'Mystery', 'Thriller']",31
32,52,Mighty Aphrodite,Mighty Aphrodite (1995),1995.0,"['Comedy', 'Drama', 'Romance']",32
33,53,Lamerica,Lamerica (1994),1994.0,"['Adventure', 'Drama']",33
34,54,"Big Green, The","Big Green, The (1995)",1995.0,"['Children', 'Comedy']",34
35,56,Kids of the Round Table,Kids of the Round Table (1995),1995.0,"['Adventure', 'Children', 'Fantasy']",35
36,60,"Indian in the Cupboard, The","Indian in the Cupboard, The (1995)",1995.0,"['Adventure', 'Children', 'Fantasy']",36
37,62,Mr. Holland's Opus,Mr. Holland's Opus (1995),1995.0,['Drama'],37
38,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996.0,"['Comedy', 'Crime']",38
39,65,Bio-Dome,Bio-Dome (1996),1996.0,['Comedy'],39
40,66,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace (1996),1996.0,"['Action', 'Sci-Fi', 'Thriller']",40
41,67,Two Bits,Two Bits (1995),1995.0,['Drama'],41
42,70,From Dusk Till Dawn,From Dusk Till Dawn (1996),1996.0,"['Action', 'Comedy', 'Horror', 'Thriller']",42
43,72,Kicking and Screaming,Kicking and Screaming (1995),1995.0,"['Comedy', 'Drama']",43
44,75,Big Bully,Big Bully (1996),1996.0,"['Comedy', 'Drama']",44
45,77,Nico Icon,Nico Icon (1995),1995.0,['Documentary'],45
46,78,"Crossing Guard, The","Crossing Guard, The (1995)",1995.0,"['Action', 'Crime', 'Drama', 'Thriller']",46
47,79,"Juror, The","Juror, The (1996)",1996.0,"['Drama', 'Thriller']",47
